"fam","genera"
"1","Encyrtidae","Adelencyrtus"
"2","Mymaridae","Anagrus"
"3","Encyrtidae","Anagyrus"
"4","Mymaridae","Anaphes"
"5","Eupelmidae","Anastatus"
"6","Encyrtidae","Anicetus"
"7","Aphelinidae","Aphelinus"
"8","Aphelinidae","Aphytis"
"9","Eulophidae","Aprostocetus"
"10","Encyrtidae","Arrhenophagus"
"11","Eulophidae","Baryscapus"
"12","Eurytomidae","Bephratelloides"
"13","Encyrtidae","Blepyrus"
"14","Chalcididae","Brachymeria"
"15","Mymaridae","Caenomymar"
"16","Eulophidae","Ceranisus"
"17","Encyrtidae","Clausenia"
"18","Encyrtidae","Coccidoxenoides"
"19","Aphelinidae","Coccophagus"
"20","Encyrtidae","Comperiella"
"21","Encyrtidae","Copidosoma"
"22","Encyrtidae","Diaphorencyrtus"
"23","Torymidae","Ditropinotus"
"24","Encyrtidae","Diversinervus"
"25","Aphelinidae","Encarsia"
"26","Encyrtidae","Encyrtus"
"27","Aphelinidae","Eretmocerus"
"28","Eupelmidae","Eupelmus"
"29","Eurytomidae","Eurytoma"
"30","Eulophidae","Galeopsomyia"
"31","Encyrtidae","Habrolepis"
"32","Encyrtidae","Hambletonia"
"33","Eulophidae","Holarcticesa"
"34",NA,"Leptocybe"
"35","Leucospidae","Leucospis"
"36","Trichogrammatidae","Megaphragma"
"37","Torymidae","Megastigmus"
"38","Pteromalidae","Mesopolobus"
"39","Encyrtidae","Microterys"
"40","Pteromalidae","Muscidifurax"
"41","Pteromalidae","Nasonia"
"42","Eulophidae","Necremnus"
"43","Eulophidae","Neochrysocharis"
"44","Eulophidae","Omphale"
"45","Encyrtidae","Ooencyrtus"
"46","Eulophidae","Oomyzus"
"47","Aphelinidae","Paraphytis"
"48","Eulophidae","Pediobius"
"49","Encyrtidae","Plagiomerus"
"50","Eulophidae","Pnigalio"
"51","Mymaridae","Polynema"
"52","Encyrtidae","Prochiloneurus"
"53","Encyrtidae","Protyndarichoides"
"54","Encyrtidae","Pseudleptomastix"
"55","Pteromalidae","Pteromalus"
"56","Aphelinidae","Pteroptrix"
"57","Pteromalidae","Spalangia"
"58","Mymaridae","Stephanocampta"
"59","Eulophidae","Tamarixia"
"60","Eurytomidae","Tetramesa"
"61","Eulophidae","Tetrastichus"
"62","Torymidae","Torymus"
"63","Encyrtidae","Trechnites"
"64","Pteromalidae","Trichilogaster"
"65","Trichogrammatidae","Trichogramma"
"66","Trichogrammatidae","Trichogrammatoidea"
"67","Encyrtidae","Zaplatycerus"
