fam,genera,result
Aphelinidae,Aphelinus,par
Aphelinidae,Coccophagus,par
Aphelinidae,Encarsia,par
Aphelinidae,Eretmocerus,par
Aphelinidae,Paraphytis,par
Aphelinidae,Pteroptrix,par
Chalcididae,Brachymeria,par
Encyrtidae,Adelencyrtus,par
Encyrtidae,Anagyrus,par
Encyrtidae,Anicetus,par
Encyrtidae,Arrhenophagus,par
Encyrtidae,Blepyrus,par
Encyrtidae,Clausenia,par
Encyrtidae,Coccidoxenoides,par
Encyrtidae,Comperiella,par
Encyrtidae,Copidosoma,par
Encyrtidae,Diaphorencyrtus,par
Encyrtidae,Diversinervus,par
Encyrtidae,Encyrtus,par
Encyrtidae,Habrolepis,par
Encyrtidae,Hambletonia,par
Encyrtidae,Microterys,par
Encyrtidae,Ooencyrtus,par
Encyrtidae,Plagiomerus,par
Encyrtidae,Prochiloneurus,par
Encyrtidae,Protyndarichoides,par
Encyrtidae,Pseudleptomastix,par
Encyrtidae,Trechnites,par
Encyrtidae,Zaplatycerus,par
Eulophidae,Baryscapus,par
Eulophidae,Ceranisus,par
Eulophidae,Holarcticesa,par
Eulophidae,Necremnus,par
Eulophidae,Neochrysocharis,par
Eulophidae,Omphale,par
Eulophidae,Oomyzus,par
Eulophidae,Pnigalio,par
Eulophidae,Tamarixia,par
Eupelmidae,Anastatus,par
Eupelmidae,Eupelmus,par
Leucospidae,Leucospis,par
Mymaridae,Anaphes,par
Mymaridae,Caenomymar,par
Mymaridae,Polynema,par
Mymaridae,Stephanocampta,par
Pteromalidae,Muscidifurax,par
Pteromalidae,Nasonia,par
Pteromalidae,Pteromalus,par
Pteromalidae,Spalangia,par
Torymidae,Ditropinotus,par
Trichogrammatidae,Megaphragma,par
Trichogrammatidae,Trichogrammatoidea,par
Eulophidae,Tetrastichus,par
Eulophidae,Pediobius,par
Eulophidae,Aprostocetus,par
Pteromalidae,Mesopolobus,par
Aphelinidae,Aphytis,par
Mymaridae,Anagrus,par
Torymidae,Torymus,par
Eulophidae,Galeopsomyia,par
Eurytomidae,Eurytoma,par
Torymidae,Megastigmus,phyt
Eurytomidae,Tetramesa,phyt
Eurytomidae,Bephratelloides,phyt
Pteromalidae,Trichilogaster,phyt
Eulophidae,Leptocybe,phyt
Trichogrammatidae,Trichogramma,par
